name,pc_1,pc_2,pc_3,pc_4,f_1,f_2,f_3,f_4,rating_rank,rating_mean,rating_sd,rating_se,bowling_harm_sim,bowling_min_freq_int
major 7th chord,0,4,7,11,186.05,232.56,279.07,348.84,9,3.300,0.837,0.153,0.267,46.51
major triad (r) + oct,0,4,7,12,182,227.5,273.01,364.01,1,3.833,0.592,0.108,0.467,45.50
augmented triad + M6,0,4,8,9,189.7,237.13,303.52,316.17,55,1.667,0.661,0.121,0.042,12.65
augmented triad + m7,0,4,8,10,185.22,231.53,296.36,333.4,54,1.700,0.702,0.128,0.124,37.04
augmented triad + M7,0,4,8,11,182.8,228.5,292.48,342.75,46,1.967,0.490,0.089,0.059,45.70
augmented triad + oct,0,4,8,12,178.89,223.62,286.23,357.78,34,2.367,0.718,0.131,0.105,44.73
,0,4,9,10,183.06,228.83,305.11,329.52,58,1.567,0.626,0.114,0.041,24.41
,0,4,9,11,180.69,225.87,301.16,338.8,25,2.667,0.758,0.138,0.094,37.64
,0,4,9,12,176.88,221.1,294.79,353.75,10,3.233,0.728,0.133,0.167,44.22
,0,4,10,11,176.63,220.78,317.93,331.18,54,1.700,0.702,0.128,0.058,13.25
,0,4,10,12,172.98,216.22,311.36,345.96,31,2.467,0.681,0.124,0.102,34.60
,0,4,11,12,170.86,213.58,320.36,341.72,8,3.333,0.479,0.088,0.233,21.36
suspended 4th + tt,0,5,6,7,199.97,266.63,279.96,299.96,62,1.433,0.568,0.104,0.080,13.33
,0,5,6,8,196.22,261.63,274.71,313.96,52,1.767,0.626,0.114,0.167,13.08
,0,5,6,9,193.8,258.4,271.32,323,38,2.233,0.935,0.171,0.158,12.92
,0,5,6,10,189.13,252.17,264.78,340.43,43,2.067,0.691,0.126,0.163,12.61
,0,5,6,11,186.6,248.8,261.24,349.88,50,1.833,0.531,0.097,0.021,12.44
,0,5,6,12,182.53,243.38,255.55,365.07,41,2.133,0.973,0.178,0.138,12.17
suspended 4th + m6,0,5,7,8,192.61,256.81,288.92,308.18,43,2.067,0.740,0.135,0.078,19.26
suspended 4th + M6,0,5,7,9,190.28,253.7,285.41,317.13,10,3.233,0.898,0.164,0.356,31.71
suspended 4th + m7,0,5,7,10,185.77,247.7,278.66,334.39,24,2.733,0.828,0.151,0.076,30.96
suspended 4th + M7,0,5,7,11,183.33,244.44,275,343.75,26,2.633,0.718,0.131,0.093,30.56
suspended 4th + oct,0,5,7,12,179.4,239.2,269.11,358.81,5,3.500,0.572,0.104,0.306,29.91
,0,5,8,9,186.88,249.17,299.01,311.46,53,1.733,0.785,0.143,0.153,12.45
,0,5,8,10,182.53,243.38,292.05,328.56,28,2.567,0.626,0.114,0.159,36.51
,0,5,8,11,180.18,240.23,288.28,337.83,47,1.933,0.583,0.106,0.021,48.05
,0,5,8,12,176.38,235.17,282.21,352.76,7,3.400,0.621,0.113,0.133,47.04
,0,5,9,10,180.43,240.58,300.72,324.78,38,2.233,0.858,0.157,0.150,24.06
,0,5,9,11,178.13,237.51,296.89,334,33,2.400,0.770,0.141,0.094,37.11
,0,5,9,12,174.42,232.56,290.7,348.84,2,3.800,0.610,0.111,0.600,58.14
,0,5,10,11,174.18,232.24,313.52,326.58,61,1.467,0.507,0.093,0.020,13.06
power chord + m7,0,5,10,12,170.63,227.5,307.13,341.26,12,3.133,0.629,0.115,0.130,34.13
,0,5,11,12,168.57,224.76,316.06,337.13,39,2.200,0.664,0.121,0.082,21.07
,0,6,7,8,190.28,266.39,285.41,304.44,44,2.033,0.669,0.122,0.233,19.02
,0,6,7,9,188,263.2,282,313.33,43,2.067,0.640,0.117,0.077,18.80
,0,6,7,10,183.6,257.04,275.4,330.48,52,1.767,0.728,0.133,0.229,18.36
,0,6,7,11,181.22,253.7,271.82,339.78,38,2.233,0.817,0.149,0.058,18.12
 ,0,6,7,12,177.38,248.33,266.06,354.75,31,2.467,0.819,0.150,0.190,17.73
,0,6,8,9,184.68,258.55,295.49,307.8,63,1.400,0.621,0.113,0.160,12.31
,0,6,8,10,180.43,252.61,288.7,324.78,39,2.200,0.761,0.139,0.467,36.08
,0,6,8,11,178.13,249.38,285.01,334,46,1.967,0.556,0.102,0.062,35.63
,0,6,8,12,174.42,244.19,279.07,348.84,14,3.067,0.640,0.117,0.400,34.88
,0,6,9,10,178.38,249.74,297.31,321.09,58,1.567,0.679,0.124,0.157,23.78
,0,6,9,11,176.13,246.59,293.55,330.25,38,2.233,0.626,0.114,0.020,36.70
,0,6,9,12,172.5,241.5,287.51,345.01,23,2.767,0.774,0.141,0.131,46.01
,0,6,10,11,172.27,241.17,310.08,323,62,1.433,0.679,0.124,0.060,12.92
,0,6,10,12,168.79,236.31,303.83,337.59,45,2.000,0.830,0.152,0.390,33.76
,0,6,11,12,166.78,233.49,312.71,333.55,60,1.500,0.630,0.115,0.051,20.84
,0,7,8,9,181.48,272.22,290.36,302.46,66,1.300,0.535,0.098,0.074,12.10
,0,7,8,10,177.38,266.06,283.8,319.28,42,2.100,0.607,0.111,0.222,17.74
,0,7,8,11,175.15,262.72,280.24,328.41,46,1.967,0.718,0.131,0.056,17.52
power chord + m6,0,7,8,12,171.56,257.34,274.5,343.12,22,2.800,0.887,0.162,0.183,17.16
,0,7,9,10,175.39,263.09,292.32,315.71,50,1.833,0.648,0.118,0.073,23.39
,0,7,9,11,173.22,259.83,288.7,324.78,39,2.200,0.805,0.147,0.089,28.87
power chord + M6,0,7,9,12,169.71,254.56,282.84,339.41,15,3.033,0.964,0.176,0.289,28.28
,0,7,10,11,169.48,254.22,305.06,317.77,58,1.567,0.679,0.124,0.054,12.71
power chord + m7,0,7,10,12,166.11,249.17,299.01,332.23,32,2.433,0.774,0.141,0.178,33.22
power chord added M7,0,7,11,12,164.16,246.24,307.8,328.32,37,2.267,0.785,0.143,0.217,20.52
,0,8,9,10,172.5,276.01,287.51,310.51,68,1.233,0.430,0.079,0.153,11.50
,0,8,9,11,170.4,272.63,283.99,319.49,61,1.467,0.629,0.115,0.020,11.36
,0,8,9,12,167,267.2,278.33,334,65,1.333,0.479,0.088,0.127,11.13
,0,8,10,11,166.78,266.84,300.2,312.71,67,1.267,0.450,0.082,0.059,12.51
,0,8,10,12,163.52,261.63,294.33,327.04,38,2.233,0.774,0.141,0.378,32.70
,0,8,11,12,161.62,258.6,303.05,323.25,60,1.500,0.572,0.104,0.049,20.20
,0,9,10,11,165.02,275.04,297.04,309.42,70,1.167,0.379,0.069,0.019,12.38
,0,9,10,12,161.83,269.72,291.3,323.67,55,1.667,0.802,0.146,0.123,21.58
,0,9,11,12,159.98,266.63,299.96,319.96,49,1.867,0.776,0.142,0.078,20.00
,0,10,11,12,156.78,282.21,293.97,313.56,65,1.333,0.661,0.121,0.048,11.76
