chord,periodicity.stolz_smooth_t2_log,omega.stolz_smooth_t2,gradus.euler_smooth_t2,similarity.gill_purves_smooth_t2
"{0,2,3,5,10}",5.446,8.800,16.400,0.349167
"{0,2,5,8,10}",5.458,8.600,18.800,0.331429
"{0,2,4,9,10}",5.465,8.600,18.200,0.350595
"{0,2,4,5,10}",5.465,9.400,19.000,0.320595
"{0,3,4,7,10}",5.473,9.000,20.000,0.386151
"{0,2,5,8,11}",5.476,9.000,22.400,0.330079
"{0,2,4,5,11}",5.483,8.800,18.600,0.343373
"{0,3,4,6,10}",5.487,9.400,22.200,0.339802
"{0,6,7,9,11}",5.494,8.600,18.400,0.343373
"{0,2,4,7,10}",5.495,8.200,18.400,0.358095
"{0,3,5,6,9}",5.521,9.200,22.600,0.334246
"{0,6,8,9,10}",5.521,10.400,21.800,0.279762
"{0,1,4,7,9}",5.526,9.000,20.000,0.366151
"{0,3,4,6,7}",5.536,9.600,20.600,0.325317
"{0,1,3,7,9}",5.537,9.400,22.200,0.336468
"{0,3,4,6,9}",5.540,8.800,22.200,0.334246
"{0,5,7,8,10}",5.541,8.600,16.200,0.349167
"{0,4,7,10,11}",5.544,9.000,19.400,0.371151
"{0,2,5,6,10}",5.574,9.800,20.200,0.338373
"{0,1,3,6,9}",5.585,9.000,22.400,0.324246
"{0,3,7,8,11}",5.586,8.600,16.600,0.354167
"{0,3,5,9,11}",5.609,9.800,22.600,0.325635
"{0,4,8,10,11}",5.609,10.200,20.600,0.323373
"{0,4,7,9,10}",5.612,8.400,19.000,0.365040
"{0,3,6,9,11}",5.623,9.200,22.600,0.330079
"{0,2,7,8,10}",5.624,9.000,18.600,0.327262
"{0,2,6,9,11}",5.645,8.200,18.800,0.377540
"{0,2,3,9,10}",5.646,9.000,18.800,0.350873
"{0,3,4,7,11}",5.658,8.200,16.200,0.380833
"{0,5,8,9,10}",5.658,9.600,19.000,0.326111
"{0,4,8,9,11}",5.661,9.200,18.400,0.359722
"{0,3,6,7,8}",5.665,9.600,20.000,0.331984
"{0,3,6,8,9}",5.668,9.400,22.800,0.324246
"{0,5,7,8,11}",5.673,9.200,19.600,0.337817
"{0,2,3,8,11}",5.673,10.000,21.000,0.307817
"{0,2,5,6,8}",5.721,9.800,22.600,0.306468
"{0,5,6,8,9}",5.721,9.800,20.800,0.311984
"{0,1,3,5,10}",5.722,8.200,15.800,0.372500
"{0,4,5,8,11}",5.726,9.200,19.800,0.355595
"{0,1,5,9,11}",5.726,10.200,20.600,0.320040
"{0,3,6,7,11}",5.736,9.200,19.800,0.355595
"{0,4,6,7,8}",5.736,10.400,20.800,0.310873
"{0,3,8,10,11}",5.737,9.800,18.400,0.325278
"{0,2,3,5,8}",5.741,9.200,19.200,0.318373
"{0,3,6,7,10}",5.751,8.800,19.200,0.386151
"{0,2,3,5,7}",5.759,8.400,16.000,0.352500
"{0,2,8,10,11}",5.759,10.600,22.000,0.275595
"{0,2,3,6,9}",5.774,9.200,22.600,0.350913
"{0,6,7,9,10}",5.774,9.800,21.600,0.327540
